"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D100,D107,D48,D8,D59,D20,D72,D4,D106,D69,D96,D68,D51,D7,D84,D91,D64,D63,D10,D57,D1,D37,D93,D92,D30,D43,D89,D80,D79,D52,D56,D49,D73,D54,D62,D98,D86,D75,D71,D83,D29,D74,D42,D50,D105,D41,D45,D22,D38,D58,D5,D28,D19,D103,D85,D90,D53,D104,D102,D108,D81,D9,D46,D94,D39,D31,D34,D24,D65,D55,D95,D18,D97,D2,D78,D36,D6,D40,D87,D47,D77,D99,D33,D44,D16,D76,D14,D25,D82,D27,D17,D32,D35,D3,D67,D13,D26,D15,D11,D23,D66,D61,D101,D60,D88,D70,D12,D21";"LED_WS2812B-2020_PLCC4_2.0x2.0mm";108;"WS2812B-2020";;;
2;"D109";"R_0603_1608Metric";1;"LED";;;
3;"SW1";"SW_Cherry_MX_1.00u_PCB";1;"SW_Push";;;
4;"C16,C27,C21,C31,C17,C26,C29,C32,C19,C22";"C_0805_2012Metric";10;"100n";;;
5;"R4,R14,R1,R10,R2,R3,R12,R11,R7,R6,R5,R15,R16,R9";"R_0805_2012Metric";14;"5k1";;;
6;"C15,C18";"C_0805_2012Metric";2;"4u7";;;
7;"C30";"CP_Elec_6.3x5.8";1;"330u";;;
8;"R13";"R_0805_2012Metric";1;"270";;;
9;"U2";"LGA-12_2x2mm_P0.5mm";1;"LIS2HH12";;;
10;"J6,J4,J1,J5,J7";"PinHeader_1x02_P2.54mm_Vertical";5;"Conn_01x02_Pin";;;
11;"S1";"PEC12R-2220F-S0024";1;"PEC12R-2220F-S0024";;;
12;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
13;"C28,C25";"C_0805_2012Metric";2;"1u";;;
14;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
15;"J2";"Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical";1;"Conn_01x10_Pin";;;
16;"R8";"R_0805_2012Metric";1;"100";;;
17;"IC1";"TSOT-23-5";1;"LDK120M33R";;;
18;"J10";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Pin";;;
19;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32G071RBTx";;;
20;"J8";"MOLEX_2171800001";1;"2171800001";;;
